"//matugesita","LowerEyelashes"
"//body_ashi","Leg"
"//body_fuku","Clothes"
"//body_hara","Belly"
"//body_mune","Chest"
"//body_tume","FingerNails"
"//manto_ura","Cape_Back"
"//body_asi","Feet"
"//mitsuami","Braid"
"//yosizumi","EyebrowsPaint"
"カジュアルスラックス","CasualSlacks","kajuaru surakkusu",""
"//asi","Feet"
"//kao","Face"
"//sox"," Socks"
"//ude"," Bracelet"
"T-シャツ","T-shirt","T-shatsu",""
"かっしょく","Brown","kasshoku",""
"ずらしブラ","SlidingBra"
"ねじり閉じ","TwistClosed"
"はんズボン","ShortPants","hanzubon",""
"ぽっちゃり","Chubby"
"アイボリー","Ivory","aiborii",""
"イヤリング","Earring","iyaringu",""
"ウインク右","Wink Right",""
"ウインク２","Wink 2",""
"エフﾟロン","Apron","epuron",""
"オレンジ色","Orange","orenjiiro",""
"オーキッド","Orchid","ookiddo",""
"カジュアル","Casual","kajuaru",""
"カーマイン","Carmine","kaamain",""
"キャンセル","Control","kyanseru",""
"クリスタル","Crystals","kurisutaru",""
"サポーター","Supporter","sapota"
"サングラス","Sunglasses","sangurasu",""
"シャクレナ","ClenchTeeth"
"ジャケット","Jacket","jaketto",""
"スカウター","Scout","sukauta",""
"ストライプ","Stripes","sutoraipu"
"スニーカー","Sneakers","suniikaa",""
"スラックス","Slacks","surakkusu",""
"ス明度変更","ChangeBrightness"
"テラコッタ","Terracotta","terakotta",""
"トランクス","Boxers","torankusu",""
"トレーナー","SweatShirt (Trainer)","tore-na-",""
"ネックレス","Necklace","nekkuresu",""
"ハイヒール","HighHeelShoes","haihiiru",""
"ハイライト","Highlight","hairaito",""
"バタフライ","Butterfly","batafurai",""
"ヒヤシンス","Hyacinth","hianshinsu",""
"ビリジアン","Viridian","birijian",""
"ブラジャー","Bra","burajaa",""
"ヘッドギア","Headgear","heddo gia"
"ベルト通し","BeltLoops",""
"ボタンの中","InnerButton",""
"ライラック","Lilac","rairakku",""
"ラベンダー","Lavender","rabendaa",""
"レオタード","Leotard","reotado",""
"レグホーン","Leghorn","reguhoon",""
"ローライズ","LowerHeight"
"ワイシャツ","Shirt","waishatsu",""
"ワンピース","Dress","wanpiisu",""
"ヴィーナス","Venus","vinasu",""
"下唇を噛む","BiteLowerLip"
"右おっぱい","RightBreast"
"咲音メイコ","Meiko Sakine"
"垂れジト目","SnowflakeEyes"
"寄せてみる","NoseGoRight"
"左おっぱい","LeftBreast"
"恐ろしい子","HorrorChild","osoroshi ko",""
"映り込み消","BodyDisappear"
"眉間にしわ","WrinklesBetweenEyebrows"
"結月ゆかり","YuzukiYukari","Yukari Purple correction"
"蝶ネクタイ","BowTie","chounekutai",""
"足指きゅっ","ToesBend"
"足指曲げる","ToesBend"
"身体（上）","Body（Upper）"
"身体（下)","Body（Lower)"
"ＫＡＩＴＯ","Kaito"
"//ha","Teeth"
"Root","Root",""
"ashi","Leg"
"base","Base",""
"おっぱい","Breasts","oppai",""
"かわぐつ","LeatherShoes","kawagutsu",""
"くつした","Socks","kutsushita",""
"こんいろ","Navy_blue","koniro",""
"しかめる","Frown"
"すぼめる","Shrink","subomeru",""
"そでぐち","Wristband","sodeguchi",""
"ちゃいろ","Brown","chairo",""
"てぶくろ","Gloves","tebukuro",""
"てへぺろ","AmusedLick"
"とびいろ","Reddish_brown","tobiiro",""
"にっこり","Smile","nikkori",""
"にやり白","GrinHijiri"
"にやり紫","GrinYukari"
"ねこみみ","CatEars","nekomimi",""
"はいいろ","Grey","haiiro",""
"はちゅ目","○○BlankWhiteEyes"
"ひかえめ","Smaller"
"ひらひら","Flutter","hirahira",""
"びっくり","Surprised","bikkuri",""
"ふともも","Thigh"
"ほっそり","SlenderBody","hossori",""
"まばたき","Blink","mabataki",""
"むっちり","WiderBody","mutsuchiri",""
"むらさき","Purple","murasaki",""
"もみあげ","Sideburn","momiage",""
"アクセ用","Access"
"アンバー","Amber","anbaa",""
"アーマー","Armor","ama",""
"イエロー","Yellow","ieroo",""
"インナー","Inner","inna"
"ウィンク","Wink","uinku",""
"ウインク","Wink","uinku"
"ウエスト","Waist","uesuto",""
"エプロン","Apron","epuron",""
"オリーブ","Olive","oriibu",""
"オレンジ","Orange","orenji",""
"オーバー","Overcoat","o-ba-",""
"カラバリ","ColorVariations","kara bari",""
"ガーター","Garter","gata",""
"キャップ","Cap","kyappu",""
"クロッチ","Crotch","kurocchi",""
"グリーン","Green","guriin",""
"グルーブ","Groove","guruubu",""
"グループ","Group","guruuppu",""
"サンダル","Sandals","sandaru",""
"シエスタ","Siesta","shiesuta",""
"ショット","Shot","shotto"
"ショーツ","Shorts","sho-tsu",""
"ショート","Short","shoto"
"シンプル","Simple","shinpuru"
"ジーンズ","Jeans","ji-nzu",""
"スカウタ","Scout","sukauta"
"スカト横","SkirtSide",""
"スカート","Skirt","sukaato",""
"スカーフ","Scarf","suka-fu",""
"スタンド","Stand"
"スフィア","Sphere","sufia"
"スペアナ","Spectrum","supeana",""
"スポーツ","Sports","supōtsu",""
"スライム","Slime","suraimu",""
"スリッパ","Slippers","surippa",""
"ス色変更","ChangeColor"
"センター","Center","centaa",""
"セーター","Sweater","se-ta-",""
"セーラー","Sailor","sera"
"ソックス","Socks","sokkusu"
"チェーン","Chain","chēn",""
"チョッキ","Vest","chokki",""
"ツインテ","Twintail","tsuinte",""
"トランプ","Cards","toranpu",""
"ヌルテカ","Oiled","nuruteka",""
"ネクタイ","Necktie","nekutai",""
"ハイヒル","HighHeelShoes","haihiru"
"ハイレグ","PantLegSlant"
"ハナブー","PigNose"
"ハﾟンツ","Pants"
"バックル","Buckle",""
"バニーイ","Bunny","banii",""
"パジャマ","Pajamas","pajama",""
"パンジー","Pansy","panjii",""
"パンスト","Pantyhose","pan suto",""
"パープル","Purple","paapuru",""
"ブラウス","Blouse","burausu",""
"ブラウン","Brown","buraun",""
"ブラック","Black","burakku",""
"ブラ表示","Bra"
"ブリーフ","Briefs","buriifu",""
"ブレザー","Blazer","bureza-",""
"ブロンズ","Bronze","buronzu",""
"ブロンド","Blond","burondo",""
"ブローチ","Brooch",""
"ベージュ","Beige","beeju",""
"ホワイト","White","howaito",""
"ボルドー","Bordeaux","borudoo",""
"マゼンタ","Magenta","mazenta",""
"マフラー","Scarf","mafuraa",""
"マルーン","Maroon","maruun",""
"ムラサキ","Murasaki"
"メジャー","Tape","meja",""
"モニター","Monitor","monita"
"モミアゲ","Sideburn","momiage",""
"ヤンデレ","Yandere","yandere"
"ヨシズミ","PaintedEyebrows"
"リベット","Rivet","ribetto",""
"レオタド","Leotard","reotado",""
"三つ編み","Braid","mitsuami",""
"上歯消し","UpperTeethDisappear"
"上睫毛短","UpperEyelashes"
"下唇噛む","BiteLowerLip"
"下歯消し","LowerTeethDisappear"
"下睫毛短","LowerEyelashes"
"不透明な","Opaque"
"亞北ネル","Neru Akita
鏡音リン""","Rin Kagamine"
"体(上)","Body(Upper)"
"体(下)","Body(Lower)"
"体[上]","Body[Upper]"
"体[下]","Body[Lower]"
"体（下)","Body（Lower）"
"先端丸め","RoundedTips",""
"先端尖り","PointedTips"
"全ての親","ParentNode","subete no oya",""
"初音ミク","Hatsune Miku",""
"前掛縮小","FrontReduce"
"力アップ","PowerUp","chikara appu",""
"半ズボン","ShortPants","hanzubon",""
"反射下げ","ReflectionLower",""
"口内後退","InnerMouthGoBack"
"四季映姫","Shiki Eiki",""
"垂れ防止","PreventSagging",""
"大きな目","BigEyes"
"巡音ルカ","Luka Megurine"
"弱音ハク","Haku Yowane"
"後掛縮小","BackReduce"
"怒り漫符","Anger",""
"操作中心","ControlNode","sousa chushin",""
"明度変化","BrightnessChange"
"明度変更","ChangeBrightness"
"服色調整","CostumeColor","fuku shoku chōsei",""
"歯上なし","UpperTeethGoUp"
"歯上後退","UpperTeethGoBack"
"歯下なし","LowerTeethGoBack"
"歯下後退","LowerTeethGoBack"
"歯無し上","TeethUpperGoUp","TeethNoneGoUp"
"歯無し下","TeethUpperGoDown","TeethNoneGoDown"
"火焔猫燐","Koakuma"
"照り返す","Reflect"
"眉尻下げ","EyebrowsGoDown"
"紫カラー","YukariColor"
"縦れ防止","PreventSagging","taterebotome",""
"胸大き目","BigBreasts"
"胸押さえ","Bust_guard",""
"胸控え目","BreastsSmaller"
"襟裏真紅","Dress"
"貼フﾞラ","Pastie"
"赤寄り""","Red","aka yori",""
"足指そり","ToesBend"
"足指曲げ","ToesBend"
"鎖移動用","ChainMovement",""
"鏡音レン","Len Kagamine"
"青ざめる","Pale"
"首の長さ","NeckLength"
"髪色調整","HairColor","kami shoku chōsei",""
"黒目拡大","PupilsDilate"
"JKT","Jacket"
"あぅう","Oh no!",""
"あかな","aKanako"
"あほ毛","Antenna","ahoge",""
"いふく","Clothes","ifuku",""
"うるる","Cry","uru uru",""
"うわぎ","Coat","uwagi",""
"おさげ","Pigtail","osage",""
"がおー","Roar",""
"がーん","Gloom","gaan",""
"きいろ","Yellow","kiiro",""
"きもの","Kimono","kimono",""
"くわっ","EyesOpenWide"
"くノ一","FemaleNinja","Kunoichi",""
"こらっ","EyesAnger"
"したぎ","Underwear","shitagi",""
"じと目","▽▽Stare","jitome",""
"せびろ","Suit","sebiro",""
"その他","Other",""
"だくみ","Mechanism","da kumi",""
"ちゃり","Bicycle","chari"
"ちゃん","Chan","chan"
"ちょこ","Cup","choko"
"てへっ","Lick","tehheh",""
"とほほ","Tears",""
"なごみ","Calm","nagomi",""
"なぬっ","Coloring",""
"なめる","Lick",""
"なると","TriangleCloth"
"にこり","Cheerful","nikori",""
"にしし","Grin"
"にしわ","Wrinkle","ni shiwa",""
"にひひ","Grin"
"にやり","Grin","ni yari",""
"ねじり","Twist","nejiri"
"はぁと","Heart","haato",""
"はうっ","Close><"
"はちゅ","○○BlankWhiteEyes","hachu",""
"はんっ","Fool"
"ぱんつ","Pants","pantsu",""
"ひいろ","Scarlet","hiiro",""
"ふとも","Suddenly","futo mo"
"ふにゃ","Sleepy","fu nya",""
"ふふん","Fool"
"ふんっ","∧Fool"
"ふーん","Fun","fuun",""
"ぷくー","CheeksPuff"
"への字","∧Regret"
"ぺろっ","Lick",""
"ほっぺ","Cheeks","hoppe"
"ぼうし","Hat","boushi",""
"ぽちゃ","Chubby"
"まつげ","Eyelash","matsuge",""
"まつ毛","Eyelashes"
"みずぎ","Swimsuit","mizugi",""
"みどり","Green","midori",""
"めがね","Glasses","megane",""
"ゆかた","SummerKimono","yukata",""
"ゆびわ","Ring","yubiwa",""
"よせる","Together"
"りぼん","Ribbon","ri bon"
"れ防止","PreventSagging",""
"アクセ","Access","aku se",""
"アヒル","Duck","ahiru",""
"アホ毛","Antenna","ahoge",""
"アリア","Aria","aria"
"イヒヒ","Giggle","ihihi",""
"イヤー","Ears","iya",""
"イレグ","Leg","iregu",""
"エッジ","Edge","ejji",""
"カタナ","KatanaSword"
"カノン","Kanon","kanon"
"カバー","Cover","kaba"
"カフス","Cuff","kafusu",""
"カラー","Color","kara"
"カーキ","Khaki","kaaki",""
"ガール","Girl","garu",""
"ガーン","Gloom","gaan",""
"キリッ","Slant","kiritsu",""
"グレー","Grey","guree",""
"ケット","Jacket","ketto",""
"コルク","Cork","koruku",""
"コート","Coat","kooto",""
"コード","Cord","koudo",""
"サイズ","Size","saizu"
"サビオ","Bandage","sahi o",""
"サンバ","Samba","sanba",""
"シアン","Cyan","shian",""
"シャツ","Shirt","shatsu",""
"シーム","Seam","shimu",""
"ジップ","Zip","zippu",""
"ジャケ","Jacket",""
"スカト","Skirt","sukato",""
"スノー","Snow","suno"
"スーツ","Suit","su-tsu",""
"ズボン","Trousers","zubon",""
"セット","Set","setto",""
"セピア","Sepia","sepia",""
"センタ","Center","senta",""
"ゾーマ","Zoom","zoma"
"タイツ","Tights","taitsu",""
"タイプ","Type","taipu"
"ダミー","Dummy","damii",""
"ダーク","Dark","daku"
"テール","Tail","teru"
"ドレス","Dress","doresu",""
"ナイト","Night","naito"
"ニヤリ","Grin","niyari"
"ニーソ","Knee","niso"
"ハの字","EyebrowsSlant"
"ハトメ","ShoelaceHoles"
"ハﾞニ","Honey"
"バック","Back","bakku",""
"バッジ","Badge",""
"バニー","Bunny","banii",""
"バンド","Band","bando",""
"パッド","Pad","paddo"
"パンツ","Pants","pantsu",""
"パーツ","Part","paatsu",""
"ヒップ","Hip","hippu",""
"ヒール","HighHeelShoes","hiiru",""
"ビキニ","Bikini","bikini",""
"ピアス","Earring","piasu",""
"ピンク","Pink","pinku",""
"ピーチ","Peach","piichi",""
"ファー","Fur","fa"
"フォグ","Fog","fogu "
"フリル","Frill","furiru",""
"フﾞツ","Boots","futsu"
"フﾞラ","Pastie","fura"
"ブリム","Brim","burimu",""
"ブリュ","Blue","buryu",""
"ブルー","Blue","buruu",""
"ブロチ","Brooch",""
"ブーツ","Boots","buutsu",""
"ヘアー","Hair","hea"
"ベルト","Belt","beruto",""
"ベール","BackVeil"
"ボタン","Button","botan",""
"ボディ","Body","bodi",""
"ボトム","Bottom","botomu",""
"ボーン","Bone","bon",""
"マイク","Microphone","maiku"
"マジデ","▽▽Stare","majide",""
"マント","Cloak","manto",""
"マーク","Mark","maku","Label"
"ムキャ","Confused"
"メイコ","Meiko",""
"メイス","Mace","meisu"
"メイド","Maid","meido",""
"メイン","Main"
"メガネ","Eyeglasses","megane",""
"メタル","Metal","metaru"
"モニタ","Monitor","monita"
"モーフ","Morph",""
"モーブ","Mauve","moobu",""
"ライズ","Rise","raizu"
"ライト","Light","raito ","water light controller"
"ライン","Line","rain"
"リボン","Ribbon","ribon",""
"リング","Ring","ringu",""
"ルビー","Ruby","rubi"
"レオタ","Leotard","reota",""
"レッド","Red","reddo",""
"ローズ","Rose","roozu",""
"上げて","Raise"
"上半身","UpperBody","jouhanshin",""
"上唇上","UpperLipsGoUp"
"上唇下","UpperLipsGoDown"
"上歯開","UpperTeethOpen"
"下あご","Chin","shita ago",""
"下半身","LowerBody","kahanshin",""
"下唇上","LowerLipsGoUp"
"下唇下","LowerLipsGoDown"
"下歯開","LowerTeethOpen"
"下瞼上","LowerEyelidsGoUp"
"不機嫌","BadMood",""
"二重の","Double","futaeno",""
"人差指","IndexFinger","hitosashiyubi",""
"先細り","Taper",""
"兜縁銀","Helmet","kabuto en gin"
"八雲紫","YakumoYukari"
"十六夜","Izayoi",""
"半漁人","HalfFishHalfMan"
"口の中","InnerMouth"
"口角拡","MouthWider"
"向日葵","Sunflower","mukoaoi",""
"周囲の","Ambient"
"女戦士","FemaleWarrior","jo senshi",""
"寄せて","Push"
"寄せる","Together","yoseru",""
"小悪魔","Koakuma",""
"小野塚","Onozuka",""
"尻の線","ButtLine"
"幽々子","Yuyuko",""
"後下髪","BackLowerHair"
"悲しい","Sad",""
"悲しみ","Sad"
"拡大し","Expand"
"明度変","ChangeBrightness"
"未使用","Unused"
"様私服","CasualClothes",""
"止め具","Fasteners",""
"歯上上","UpperTeethGoUp"
"歯上下","TeethUpperGoDown"
"歯下下","LowerTeethGoDown"
"水かき","Web"
"水着上","SwimsuitUpper"
"水着下","SwimsuitLower"
"注連縄","SacredShrineRope"
"淡紅色","Pink","tankōshoku",""
"無機質","HighlightsNone"
"燕尾服","SwallowTailCoat",""
"目が点","●●Eyes"
"真面目","Serious",""
"睫毛短","Eyelashes"
"神奈子","Kanako"
"移動用","Move","ido?",""
"紐ぱん","String",""
"紫カラ","YukariColor"
"細める","Tighten","hosomeru",""
"絆創膏","Bandage","",""
"緑寄り","Green","midori yori",""
"耳移動","EarMovement","mimi ido",""
"胸補助","Bust_support",""
"色変え","ChangeColor",""
"色変化","ColorChange"
"色変更","ChangeColor"
"衣料品","Clothing","iryouhin",""
"褌鋲銀","Loincloth","fundoshi byo gin"
"西行寺","Saigyouji",""
"見開く","Spread","mihiraku",""
"調整用","Adjustment"
"足指伸","ToesBend"
"足首伸","AnkleBend"
"透ジャ","Translucent","torushi?",""
"鎖移動","ChainMovement","kusari ido",""
"青ざめ","Pale","aozame",""
"青冷め","BlueCold"
"青寄り","Blue","ao yori",""
"非透過","Opaque"
"面荒さ","Roughness","men kō "
"革ぱん","Leather",""
"額冠金","FrameCrown","gaku kanmuri kin"
"額冠銀","FrameCrown","gaku kanmuri gin"
"髪留め","RubberBand",""
"ﾞニー"," Knee","ni","Pluto new translations"
"ω□","Omegabox",""
"▽▽","▽▽Eyes"
"あぁ","Aa"
"あお","Blue","ao",""
"あか","Red","aka",""
"あご","Jaw","ago",""
"あ白","aHijiri"
"あ紫","aYukari"
"いぃ","Ii"
"い白","iHijiri"
"い紫","iYukari"
"うで","Arm","ude",""
"うへ","Disgust","uueh"
"う白","uHijiri"
"う紫","uYukari"
"えり","Collar","eri",""
"えー","e-","e",""
"え白","eHijiri"
"え紫","eYukari"
"お白","oHijiri"
"お紫","oYukari"
"かき","Oyster","kaki"
"かな","Kanako"
"きめ","Texture","kime"
"くっ","Ugh",""
"くつ","Shoes","kutsu",""
"くろ","Black","kuro",""
"げ右","Right","ge migi",""
"げ左","Left","ge hidari",""
"さき","Tips","saki",""
"しろ","White","shiro",""
"じと","Tooth","ji to",""
"すじ","Sushi","suji",""
"すそ","LowerClothes","suso",""
"そで","Sleeve","sode",""
"たか","Falcon","taka",""
"たれ","Droopy","tare",""
"ちち","Father","chichi"
"つま","Toe","tsuma",""
"つり","Slant","tsuri",""
"てへ","Lick","tehheh",""
"とげ","Thorn","toge",""
"なし","None","nashi",""
"なぬ","None","nanu",""
"なめ","Lick","name",""
"にこ","Smile","niko",""
"ぬる","Oiled","nuru",""
"はぁ","Slanted","haa"
"はぅ","Close><","haau",""
"ぱん","Pants"
"ひざ","Knee","hiza",""
"ひじ","Elbow","hiji",""
"ぷぅ","CheeksPuff","puu",""
"ぷく","CheeksPuff"
"べー","TongueOut",""
"ぺろ","Lick","pero",""
"ほお","Cheeks"
"ぽっ","Cruciform",""
"ます","Gem"
"まる","Gem","Winx Tecna"
"よせ","Forward"
"イー","GritsTeeth","eee"
"エア","Air","ea"
"オフ","Off","ofu",""
"カラ","Color"
"ガタ","Looseness","gata",""
"サリ","Sari","sari"
"スラ","Slime","sura"
"セラ","Sailor"
"タブ","ZipperTab"
"タン","Tan","tan",""
"ヌル","Oiled","nuru",""
"ネコ","Cat","neko"
"ネ毛","Hair",""
"バク","Forward"
"バニ","Bunny","bani",""
"バフ","Buff","bafu",""
"パフ","Puff","pafu"
"パン","Bread","pan"
"ヒル","HighHeelShoes","hiru",""
"ヒレ","Fin","hire","HalfFishHalfMan"
"ヒン","Back"
"ブチ","Spotted","buchi",""
"ブツ","Boots",""
"ブラ","Bra","bura",""
"ヘア","Hair","hea"
"ベス","ChangeColorSlime","besu"
"ベル","Belt"
"ベー","TongueOut","behh"
"ボト","Bottom"
"マク","Mark","maku","Label"
"ミク","Miku","miku",""
"レオ","Leotard","reo",""
"レグ","Leg","regu",""
"ロー","Lower","ro",""
"一括","All"
"三角","Triangle"
"上げ","Raise","age",""
"上半","Upper",""
"上着","Coat","uwagi",""
"上紐","UpperString"
"上部","UpperPart"
"下げ","Lower","sage",""
"下上","LowerGoUp"
"下半","Lower",""
"下着","Underwear","shitagi",""
"下部","LowerPart"
"下顎","Chin","shita ago",""
"不満","Dissatisfied","fuman",""
"両目","Eyes","ryoume",""
"中指","MiddleFinger","nakayubi",""
"丹色","Red","ni-iro",""
"乳巨","BreastsLarger"
"乳縮","BreastsSmaller"
"二重","Double","futae",""
"人指","IndexFinger","hitoyubi",""
"人魂","Ghost","hitodama"
"付け","Attachment",""
"位置","Location"
"体上","Bodyu",""
"体下","Bodyl",""
"傘を","Umbrella"
"傘閉","UmbrellaClosed","kasa ?"
"僧侶","PriestMonk","soryo"
"僧衣","PriestFrock","soi"
"先端","Tips","sakihaji",""
"光彩","Pupils"
"兜裏","Helmet","kabuto ura"
"全照","FullLight","chon akira"
"八坂","Yasaka",""
"八意","Yagokoro",""
"八重","Double","hachi ju"
"八雲","Yakumo",""
"六角","Hexagon","rokukaku",""
"出す","TakeOut"
"前掛","Front"
"前髪","Bangs",""
"勇儀","Yuugi",""
"勾玉","Beads","magatama"
"千桁","Thousand","sen keta"
"単色","Monochrome"
"収納","Hide","shūno",""
"口上","MouthUpper"
"口下","MouthLower"
"口内","InnerMouth"
"右ハ","RightHand",""
"右乳","RightBreast"
"右目","RightEye"
"右胸","RightBreast"
"右腕","RightArm"
"右足","RightLeg"
"司書","Librarian","shisho"
"向日","Sunrise","muko",""
"呆れ","Amazement",""
"周り","Around"
"和み","Calm","nagomi",""
"咲夜","Sakuya",""
"噛む","Bite","kamu",""
"器具","Apparatus","kigu",""
"回転","Rotate","kaiten",""
"困り","Troubled","komari",""
"困る","Sadness","komaru",""
"土台","Base","dodai",""
"夜戦","NightFight","yasen"
"太い","Wider",""
"女僧","FemalePriest","jo sō",""
"女賢","WiseWoman","jo ken",""
"学迷","Learning","gaku",""
"宝石","Jewel"
"小指","LittleFinger","koyubi",""
"小町","Komachi",""
"尻尾","Tail"
"左ハ","LeftHand",""
"左乳","LeftBreast"
"左目","LeftEye"
"左胸","LeftBreast"
"左腕","LeftArm"
